episode,episode_length,total_reward,epsilon,avg_q_value
0,15,-7.0,1.0,0.2035459
1,34,4.0,0.995,0.52578914
2,21,-5.0,0.990025,0.9414286
3,41,-31.0,0.985074875,0.4845016
4,11,-9.0,0.9801495006250001,0.3186934
5,15,-13.0,0.9752487531218751,0.18292795
6,55,-15.0,0.9703725093562657,0.14346428
7,24,0.0,0.9655206468094844,0.043550946
8,22,-4.0,0.960693043575437,0.024039049
9,70,-46.0,0.9558895783575597,-0.24620295
10,17,-15.0,0.9511101304657719,-0.2840875
11,14,-10.0,0.946354579813443,-0.30599996
12,44,2.0,0.9416228069143757,-0.40782687
13,19,-5.0,0.9369146928798039,-0.40696794
14,34,-18.0,0.9322301194154049,-0.47761577
15,57,-7.0,0.9275689688183278,-0.6964021
16,15,-3.0,0.9229311239742362,-0.44205493
17,11,-5.0,0.918316468354365,-0.49396265
18,18,-4.0,0.9137248860125932,-0.5269712
19,17,-15.0,0.9091562615825302,-0.4777013
20,17,-15.0,0.9046104802746175,-0.4524949
21,24,-8.0,0.9000874278732445,-0.45657584
22,36,-12.0,0.8955869907338783,-0.38476562
23,31,5.0,0.8911090557802088,-0.4443133
24,33,5.0,0.8866535105013078,-0.40888432
25,23,-21.0,0.8822202429488013,-0.38466513
26,18,-4.0,0.8778091417340573,-0.36947888
27,20,-2.0,0.8734200960253871,-0.41616994
28,20,-10.0,0.8690529955452602,-0.36265105
29,17,-5.0,0.8647077305675338,-0.38605094
30,49,-7.0,0.8603841919146962,-0.3390065
31,15,-13.0,0.8560822709551227,-0.43765253
32,29,-13.0,0.851801859600347,-0.2855125
33,51,-9.0,0.8475428503023453,-0.38201863
34,46,-24.0,0.8433051360508336,-0.35255492
35,20,-2.0,0.8390886103705794,-0.3907972
36,56,30.0,0.8348931673187264,-0.6094489
37,32,-28.0,0.8307187014821328,-0.88122517
38,46,12.0,0.8265651079747222,-0.7894612
39,23,-17.0,0.8224322824348486,-0.768219
40,15,-5.0,0.8183201210226743,-0.58655334
41,18,-10.0,0.8142285204175609,-0.7871991
42,11,-9.0,0.810157377815473,-0.7134153
43,24,-4.0,0.8061065909263957,-0.8010625
44,14,-12.0,0.8020760579717637,-0.6833701
45,21,-5.0,0.798065677681905,-0.5465804
46,23,-1.0,0.7940753492934954,-0.58634514
47,16,-2.0,0.7901049725470279,-0.7472813
48,35,-5.0,0.7861544476842928,-0.5450501
