episode,episode_length,total_reward,epsilon,avg_q_value
0,15,-13.0,1.0,-0.02202431
1,12,-8.0,0.995,-0.027068622
2,20,-2.0,0.990025,0.3035999
3,10,-8.0,0.985074875,0.47697523
4,18,-8.0,0.9801495006250001,0.81647336
5,14,-10.0,0.9752487531218751,0.748497
6,40,-16.0,0.9703725093562657,0.5414944
7,13,-7.0,0.9655206468094844,0.41424528
8,17,-5.0,0.960693043575437,0.3311136
9,33,-15.0,0.9558895783575597,-0.085184254
10,13,-3.0,0.9511101304657719,-0.25417832
11,10,-8.0,0.946354579813443,-0.31081343
12,18,0.0,0.9416228069143757,-0.23145428
13,20,-16.0,0.9369146928798039,-0.47929186
14,28,-14.0,0.9322301194154049,-0.6023588
15,22,-20.0,0.9275689688183278,-0.7264155
16,12,-10.0,0.9229311239742362,-0.67546785
17,12,-10.0,0.918316468354365,-0.64622676
18,14,-4.0,0.9137248860125932,-0.66835624
19,40,-6.0,0.9091562615825302,-0.795524
20,21,1.0,0.9046104802746175,-0.66068816
21,67,1.0,0.9000874278732445,-0.65399736
22,21,-9.0,0.8955869907338783,-0.5728872
23,26,-16.0,0.8911090557802088,-0.61700857
24,15,-7.0,0.8866535105013078,-0.5528433
25,24,-2.0,0.8822202429488013,-0.51282525
26,24,0.0,0.8778091417340573,-0.5431645
27,19,-11.0,0.8734200960253871,-0.48933172
28,76,20.0,0.8690529955452602,-0.46529192
29,25,1.0,0.8647077305675338,-0.44055617
30,43,-15.0,0.8603841919146962,-0.39227855
31,28,-2.0,0.8560822709551227,-0.45988172
32,19,-5.0,0.851801859600347,-0.45465243
33,12,-10.0,0.8475428503023453,-0.45386988
34,30,-8.0,0.8433051360508336,-0.44471815
35,40,10.0,0.8390886103705794,-0.38439506
36,27,-13.0,0.8348931673187264,-0.41627115
37,22,-4.0,0.8307187014821328,-0.4513467
38,26,-12.0,0.8265651079747222,-0.4295261
39,16,-10.0,0.8224322824348486,-0.40885073
40,20,-8.0,0.8183201210226743,-0.4971273
41,43,-11.0,0.8142285204175609,-0.96878517
42,38,-4.0,0.810157377815473,-0.8673208
43,58,-36.0,0.8061065909263957,-0.8543743
44,41,5.0,0.8020760579717637,-0.806631
45,18,-12.0,0.798065677681905,-0.7045077
46,38,10.0,0.7940753492934954,-0.6336265
47,77,-11.0,0.7901049725470279,-0.7534503
48,116,-36.0,0.7861544476842928,-0.67636883
49,16,-8.0,0.7822236754458713,-0.638767
50,18,-6.0,0.778312557068642,-0.67112124
51,59,-21.0,0.7744209942832988,-0.6436995
52,52,-28.0,0.7705488893118823,-0.7423403
53,42,8.0,0.7666961448653229,-0.726315
54,57,-21.0,0.7628626641409962,-0.7110149
55,31,-7.0,0.7590483508202912,-0.68604356
56,20,-18.0,0.7552531090661897,-0.6750027
57,11,-9.0,0.7514768435208588,-0.6715927
58,25,1.0,0.7477194593032545,-0.6798929
59,33,-13.0,0.7439808620067382,-0.639837
60,85,-61.0,0.7402609576967045,-0.6742901
61,150,-28.0,0.736559652908221,-0.6272582
62,30,-26.0,0.7328768546436799,-1.2472049
63,25,-1.0,0.7292124703704616,-1.0041168
64,53,29.0,0.7255664080186093,-0.9175588
65,67,-9.0,0.7219385759785162,-0.90234417
66,95,33.0,0.7183288830986236,-0.8091405
67,52,28.0,0.7147372386831305,-0.7681749
68,37,-1.0,0.7111635524897149,-0.7792623
69,44,8.0,0.7076077347272662,-0.7978193
70,73,11.0,0.7040696960536299,-0.84346664
71,33,-15.0,0.7005493475733617,-0.78755414
72,35,11.0,0.697046600835495,-0.73232615
