episode,episode_length,total_reward,epsilon,avg_q_value
0,81,-58.58283747325895,1.0,1.5818151
1,53,-207.98694685853735,0.999,0.81034625
2,89,-403.0688434402059,0.998001,-0.15950498
3,66,14.152523907837931,0.997002999,-0.6644942
4,80,-129.11997203985845,0.996005996001,-0.5131335
5,108,-111.64423331224316,0.995009990004999,-1.1037439
6,70,-45.239056070296456,0.994014980014994,-1.4495038
7,84,-59.919121669803786,0.993020965034979,-1.1643515
8,60,-86.09870150970605,0.9920279440699441,-1.0494442
9,84,-97.82342319674922,0.9910359161258742,-0.82099324
10,66,-90.46253897948807,0.9900448802097482,-0.4808112
11,62,-109.62589030553286,0.9890548353295385,-0.514019
12,72,-227.9313630058682,0.988065780494209,-0.51051164
13,84,-127.8261433066192,0.9870777147137147,-1.2127247
14,113,-419.5691543529602,0.986090636999001,-0.68425244
15,86,26.92357291076496,0.9851045463620021,-0.4902298
16,85,-94.10824762306616,0.98411944181564,-0.24174647
17,63,-100.4377962753588,0.9831353223738244,-0.13765427
18,102,-98.31430726096795,0.9821521870514506,0.13941395
19,91,-115.64675909873503,0.9811700348643991,0.060237873
20,81,-130.80608308978347,0.9801888648295347,0.22233462
21,92,-175.85627221293862,0.9792086759647052,0.24101324
22,69,-61.74259406518409,0.9782294672887405,0.34253085
23,71,-184.94732180939187,0.9772512378214517,0.49704307
24,107,-292.6063225329297,0.9762739865836303,0.74604046
25,96,-22.924982684453326,0.9752977125970467,1.2824924
26,95,-289.68872403903543,0.9743224148844496,1.1987168
27,103,-236.4393605601741,0.9733480924695651,1.6673084
28,87,-260.2856691473267,0.9723747443770956,1.5717165
29,78,-281.06629039197094,0.9714023696327185,1.7582146
30,80,-96.31666696292459,0.9704309672630859,2.2405078
31,98,-192.687100256548,0.9694605362958227,1.902581
32,73,-138.0799663259146,0.9684910757595269,2.0698972
33,95,-126.3571078482459,0.9675225846837673,2.1487756
34,109,-102.66644792014375,0.9665550620990835,2.4594164
35,118,-240.58646503711594,0.9655885070369844,3.4765973
36,107,-186.9696297723468,0.9646229185299474,3.6798027
37,120,-146.33853179659852,0.9636582956114175,4.011746
38,71,-110.96244534843643,0.9626946373158061,4.405099
39,112,-144.06499118782637,0.9617319426784903,4.154284
40,66,-186.27172657650004,0.9607702107358118,4.0410967
41,92,-151.67767380216725,0.959809440525076,4.119527
42,104,-103.6312686140077,0.9588496310845509,4.1988425
43,108,-94.26737728376492,0.9578907814534664,4.271676
44,71,-182.40026970089895,0.9569328906720129,4.2155495
45,68,-125.84664893928299,0.9559759577813409,4.8087
46,69,-84.61485428165825,0.9550199818235596,5.8396673
47,125,-125.52185862229193,0.9540649618417361,6.8245287
48,99,-202.37196134803443,0.9531108968798944,6.6517973
49,75,-259.34603916786295,0.9521577859830145,6.7950377
50,78,-184.33343488711404,0.9512056281970315,6.6111174
51,64,-103.66045021148359,0.9502544225688344,6.9492884
52,109,-132.2855716492928,0.9493041681462656,7.006158
53,81,-105.02402607980765,0.9483548639781193,7.1920805
54,70,-162.70863704552812,0.9474065091141411,7.1132154
55,77,-121.33266930871156,0.946459102605027,7.055781
56,107,-74.45147595835546,0.9455126435024219,7.1032076
57,106,-230.66651697868127,0.9445671308589195,9.148404
58,116,-83.22974415815224,0.9436225637280606,9.475565
59,99,-116.7134497680994,0.9426789411643326,9.980169
60,68,-46.90735699358823,0.9417362622231683,9.744455
61,62,-144.0084379661584,0.9407945259609451,9.896833
62,78,-121.55779773221937,0.9398537314349842,10.305132
63,103,-187.0321589788283,0.9389138777035492,10.18692
64,150,-122.79145460100139,0.9379749638258457,10.33777
65,104,-51.85177785855272,0.9370369888620198,10.141638
66,66,-89.80061453627684,0.9360999518731578,10.077727
67,79,-122.298628927115,0.9351638519212846,10.260794
68,62,-90.90883715356443,0.9342286880693633,11.129519
69,117,-127.80916375357438,0.933294459381294,11.884639
70,71,-94.63194904590155,0.9323611649219127,12.211136
71,96,-66.97909506931444,0.9314288037569908,12.382016
72,106,-98.35366104651408,0.9304973749532338,12.823149
73,78,-111.85378050247472,0.9295668775782806,12.684686
74,102,-67.02668721606577,0.9286373107007023,12.479342
75,100,-154.19494981255013,0.9277086733900016,12.409744
76,85,-88.9559271522743,0.9267809647166116,12.084894
77,84,-102.3994725079601,0.925854183751895,12.307408
78,82,-146.8602446328191,0.9249283295681431,12.454185
79,91,-90.19157410391396,0.9240034012385749,13.810031
80,68,-149.01850851828166,0.9230793978373364,13.762815
81,60,-86.80320838985455,0.9221563184394991,14.385637
82,70,-103.95055728359215,0.9212341621210596,13.951523
83,109,-114.42538333271237,0.9203129279589385,14.426491
84,125,-128.4772584101337,0.9193926150309796,13.493083
85,155,-73.07372113383289,0.9184732224159486,14.30603
86,119,-266.8021378783005,0.9175547491935327,14.025981
87,117,-185.66794211685493,0.9166371944443392,14.52683
88,65,-105.98598325077579,0.9157205572498949,14.24866
89,81,-138.07375200866082,0.914804836692645,13.889537
90,115,-113.52339757265722,0.9138900318559524,16.337006
91,108,-106.22239025310941,0.9129761418240965,16.546965
92,115,-99.04563164965946,0.9120631656822724,15.844236
93,121,-112.97824172306892,0.9111511025165902,16.130785
94,117,-143.63703124772388,0.9102399514140735,16.387304
95,65,-126.9714952110148,0.9093297114626595,16.293083
96,95,-118.300193577366,0.9084203817511969,16.091652
97,116,-92.24319714290758,0.9075119613694457,16.270838
98,95,-126.9839624157952,0.9066044494080763,16.002522
99,95,-88.35524677996747,0.9056978449586682,17.620384
100,83,-113.84924129979021,0.9047921471137096,17.857925
101,109,-114.23651813628712,0.9038873549665959,18.376673
102,92,-240.89840879215566,0.9029834676116293,18.050123
103,89,-179.76766005978487,0.9020804841440176,18.578106
104,75,-102.99123394976431,0.9011784036598737,18.19254
105,93,-113.25185312778821,0.9002772252562138,18.161037
106,70,-109.32639490333152,0.8993769480309576,18.234615
107,98,-107.70093449295071,0.8984775710829266,18.406225
108,90,-111.32999973837822,0.8975790935118436,17.769943
109,64,-70.95471682288397,0.8966815144183318,18.004818
110,65,-48.52716584268801,0.8957848329039134,18.260786
111,74,-44.474921372117436,0.8948890480710096,19.413351
112,143,-255.79078125183852,0.8939941590229386,19.71223
113,144,-88.01288918802331,0.8931001648639156,19.516418
114,69,-61.47720132295039,0.8922070646990518,19.673828
