episode,episode_length,total_reward,epsilon,avg_q_value
0,200,-200.0,1.0,-0.8907875
1,200,-200.0,0.999,-0.89547235
2,200,-200.0,0.998001,-0.90252626
3,200,-200.0,0.997002999,-0.8987917
4,200,-200.0,0.996005996001,-0.8912653
5,200,-200.0,0.995009990004999,-1.8880354
6,200,-200.0,0.994014980014994,-1.892889
7,200,-200.0,0.993020965034979,-1.8832382
8,200,-200.0,0.9920279440699441,-1.8933566
9,200,-200.0,0.9910359161258742,-1.8694019
10,200,-200.0,0.9900448802097482,-2.8243108
11,200,-200.0,0.9890548353295385,-2.8405793
12,200,-200.0,0.988065780494209,-2.8489842
13,200,-200.0,0.9870777147137147,-2.842316
14,200,-200.0,0.986090636999001,-2.8267505
15,200,-200.0,0.9851045463620021,-3.794342
16,200,-200.0,0.98411944181564,-3.7982345
17,200,-200.0,0.9831353223738244,-3.7965941
18,200,-200.0,0.9821521870514506,-3.7867966
19,200,-200.0,0.9811700348643991,-3.7898078
20,200,-200.0,0.9801888648295347,-4.743737
21,200,-200.0,0.9792086759647052,-4.738149
22,200,-200.0,0.9782294672887405,-4.7442102
23,200,-200.0,0.9772512378214517,-4.7519484
24,200,-200.0,0.9762739865836303,-4.73061
25,200,-200.0,0.9752977125970467,-5.6838813
26,200,-200.0,0.9743224148844496,-5.6664343
27,200,-200.0,0.9733480924695651,-5.6683693
28,200,-200.0,0.9723747443770956,-5.663087
29,200,-200.0,0.9714023696327185,-5.664239
30,200,-200.0,0.9704309672630859,-6.605962
31,200,-200.0,0.9694605362958227,-6.603917
32,200,-200.0,0.9684910757595269,-6.5757294
33,200,-200.0,0.9675225846837673,-6.5908446
34,200,-200.0,0.9665550620990835,-6.6002703
35,200,-200.0,0.9655885070369844,-7.52565
36,200,-200.0,0.9646229185299474,-7.5243635
37,200,-200.0,0.9636582956114175,-7.5226684
38,200,-200.0,0.9626946373158061,-7.523874
39,200,-200.0,0.9617319426784903,-7.530047
40,200,-200.0,0.9607702107358118,-8.4475355
41,200,-200.0,0.959809440525076,-8.442262
42,200,-200.0,0.9588496310845509,-8.421049
43,200,-200.0,0.9578907814534664,-8.448715
44,200,-200.0,0.9569328906720129,-8.422641
45,200,-200.0,0.9559759577813409,-9.335687
46,200,-200.0,0.9550199818235596,-9.332501
47,200,-200.0,0.9540649618417361,-9.320808
48,200,-200.0,0.9531108968798944,-9.323479
49,200,-200.0,0.9521577859830145,-9.321711
50,200,-200.0,0.9512056281970315,-10.2101
51,200,-200.0,0.9502544225688344,-10.209289
52,200,-200.0,0.9493041681462656,-10.193618
53,200,-200.0,0.9483548639781193,-10.186609
54,200,-200.0,0.9474065091141411,-10.192511
55,200,-200.0,0.946459102605027,-11.077043
56,200,-200.0,0.9455126435024219,-11.072648
57,200,-200.0,0.9445671308589195,-11.081942
58,200,-200.0,0.9436225637280606,-11.077033
59,200,-200.0,0.9426789411643326,-11.077617
60,200,-200.0,0.9417362622231683,-11.954552
61,200,-200.0,0.9407945259609451,-11.94506
62,200,-200.0,0.9398537314349842,-11.927907
63,200,-200.0,0.9389138777035492,-11.953264
64,200,-200.0,0.9379749638258457,-11.932348
65,200,-200.0,0.9370369888620198,-12.812202
66,200,-200.0,0.9360999518731578,-12.792224
67,200,-200.0,0.9351638519212846,-12.78145
68,200,-200.0,0.9342286880693633,-12.80662
69,200,-200.0,0.933294459381294,-12.794327
70,200,-200.0,0.9323611649219127,-13.657692
71,200,-200.0,0.9314288037569908,-13.630569
72,200,-200.0,0.9304973749532338,-13.636342
73,200,-200.0,0.9295668775782806,-13.649335
74,200,-200.0,0.9286373107007023,-13.638826
75,200,-200.0,0.9277086733900016,-14.487085
76,200,-200.0,0.9267809647166116,-14.458891
77,200,-200.0,0.925854183751895,-14.448413
78,200,-200.0,0.9249283295681431,-14.478772
79,200,-200.0,0.9240034012385749,-14.480036
80,200,-200.0,0.9230793978373364,-15.316701
81,200,-200.0,0.9221563184394991,-15.316379
82,200,-200.0,0.9212341621210596,-15.306379
83,200,-200.0,0.9203129279589385,-15.284304
84,200,-200.0,0.9193926150309796,-15.298741
85,200,-200.0,0.9184732224159486,-16.114
86,200,-200.0,0.9175547491935327,-16.105083
87,200,-200.0,0.9166371944443392,-16.093086
88,200,-200.0,0.9157205572498949,-16.123768
89,200,-200.0,0.914804836692645,-16.114758
90,200,-200.0,0.9138900318559524,-16.953243
91,200,-200.0,0.9129761418240965,-16.963861
92,200,-200.0,0.9120631656822724,-16.932972
93,200,-200.0,0.9111511025165902,-16.901974
94,200,-200.0,0.9102399514140735,-16.918064
95,200,-200.0,0.9093297114626595,-17.728037
96,200,-200.0,0.9084203817511969,-17.727829
97,200,-200.0,0.9075119613694457,-17.73117
98,200,-200.0,0.9066044494080763,-17.744131
99,200,-200.0,0.9056978449586682,-17.731592
100,200,-200.0,0.9047921471137096,-18.571142
101,200,-200.0,0.9038873549665959,-18.543926
102,200,-200.0,0.9029834676116293,-18.543404
103,200,-200.0,0.9020804841440176,-18.523077
104,200,-200.0,0.9011784036598737,-18.53095
105,200,-200.0,0.9002772252562138,-19.322262
106,200,-200.0,0.8993769480309576,-19.335136
107,200,-200.0,0.8984775710829266,-19.319153
108,200,-200.0,0.8975790935118436,-19.302883
109,200,-200.0,0.8966815144183318,-19.328228
110,200,-200.0,0.8957848329039134,-20.11359
111,200,-200.0,0.8948890480710096,-20.115477
112,200,-200.0,0.8939941590229386,-20.097265
113,200,-200.0,0.8931001648639156,-20.102047
114,200,-200.0,0.8922070646990518,-20.114008
115,200,-200.0,0.8913148576343527,-20.872501
116,200,-200.0,0.8904235427767183,-20.89798
117,200,-200.0,0.8895331192339416,-20.903873
118,200,-200.0,0.8886435861147077,-20.875978
119,200,-200.0,0.887754942528593,-20.868517
120,200,-200.0,0.8868671875860644,-21.641685
121,200,-200.0,0.8859803203984784,-21.654394
122,200,-200.0,0.88509434007808,-21.614098
123,200,-200.0,0.8842092457380019,-21.64767
124,200,-200.0,0.8833250364922639,-21.648748
125,200,-200.0,0.8824417114557717,-22.420605
126,200,-200.0,0.8815592697443159,-22.436876
127,200,-200.0,0.8806777104745716,-22.423243
128,200,-200.0,0.8797970327640969,-22.399605
129,200,-200.0,0.8789172357313328,-22.420443
